0,7852.000000 
1,-1373.245605 
2,-413.156311 
3,340.030945 
4,455.064148 
5,121.092896 
6,-153.878479 
7,-90.553703 
8,151.000000 
9,251.872681 
10,121.992676 
11,-42.457321 
12,-37.493721 
13,106.295761 
14,193.938278 
15,123.567856 
16,0.000000 
17,-16.612961 
18,85.073349 
19,166.681076 
20,125.947472 
21,23.064667 
22,-6.422276 
23,71.401924 
24,151.000000 
25,129.350586 
26,38.308079 
27,-1.490128 
28,60.482132 
29,140.967072 
30,134.144699 
31,50.034180 
32,0.000000 
33,50.034180 
34,134.144699 
35,140.967072 
36,60.482132 
37,-1.490128 
38,38.308079 
39,129.350586 
40,151.000000 
41,71.401924 
42,-6.422276 
43,23.064667 
44,125.947472 
45,166.681076 
46,85.073349 
47,-16.612961 
48,0.000000 
49,123.567856 
50,193.938278 
51,106.295761 
52,-37.493721 
53,-42.457321 
54,121.992676 
55,251.872681 
56,151.000000 
57,-90.553703 
58,-153.878479 
59,121.092896 
60,455.064148 
61,340.030945 
62,-413.156311 
63,-1373.245605 
